Time [s],Channel 3
57.338478562,2.562
57.339278562,2.562
57.340078562,2.556
57.340878562,2.556
57.341678562,2.556
57.342478562,2.562
57.343278562,2.562
57.344078562,2.562
57.344878562,2.562
57.345678562,2.562
57.346478562,2.562
57.347278562,2.556
57.348078562,2.562
57.348878562,2.562
57.349678562,2.556
57.350478562,2.546
57.351278562,2.562
57.352078562,2.562
57.352878562,2.562
57.353678562,2.562
57.354478562,2.556
57.355278562,2.562
57.356078562,2.562
57.356878562,2.562
57.357678562,2.562
57.358478562,2.562
57.359278562,2.562
57.360078562,2.556
57.360878562,2.556
57.361678562,2.556
57.362478562,2.556
57.363278562,2.562
57.364078562,2.556
